FIRSTNAME,SEX
DASI,F
DASIE,F
DAVEEN,F
DAVENA,F
DAVENE,F
DAVENIA,F
DAVENNA,F
DAVID,F
DAVIDA,F
DAVINA,F
DAVINE,F
DAVINIA,F
DAWN,F
DAWNA,F
DAWNE,F
DAWNETTA,F
DAWNIELLE,F
DAWNN,F
DAYNA,F
DEA,F
DEANA,F
DEANDRE,F
DEANN,F
DEANNA,F
DEANNE,F
DEB,F
DEBBIE,F
DEBBORA,F
DEBBRA,F
DEBBY,F
DEBDRAH,F
DEBERA,F
DEBERAH,F
DEBI,F
DEBORA,F
DEBORAH,F
DEBORHA,F
DEBORRAH,F
DEBRA,F
DEBRAH,F
DECIMA,F
DEDE,F
DEE,F
DEEANNA,F
DEENA,F
DEIDRA,F
DEIDRE,F
DEIDRIE,F
DEIRDRE,F
DELANIA,F
DELCIE,F
DELESHA,F
DELIA,F
DELICE,F
DELICIA,F
DELILAH,F
DELISA,F
DELISE,F
DELISHA,F
DELISIAH,F
DELLA,F
DELLIE,F
DELMA,F
DELORA,F
DELORES,F
DELORIS,F
DELOYCE,F
DELPHA,F
DELPHE,F
DELPHI,F
DELPHIA,F
DELPHINE,F
DELSIE,F
DELTA,F
DELWYN,F
DELYA,F
DELYS,F
DELYSE,F
DELYSIA,F
DELYTH,F
DEMA,F
DEMARAS,F
DEMARIS,F
DEMELZA,F
DENA,F
DENCIE,F
DENDI,F
DENDY,F
DENEICE,F
DENESE,F
DENICE,F
DENIECE,F
DENIES,F
DENISE,F
DENIZE,F
DENNES,F
DENNICE,F
DENNISE,F
DENNYS,F
DENVA,F
DENYCE,F
DENYS,F
DENYSE,F
DERENDA,F
DERINDA,F
DERRINE,F
DERRON,F
DERYN,F
DESDAMONA,F
DESDEMONA,F
DESDEMONIA,F
DESHA,F
DESIRE,F
DESIREE,F
DESMONA,F
DESNA,F
DESNE,F
DESNEY,F
DESSA,F
DESSEY,F
DESSIE,F
DESYRE,F
DETTA,F
DEVATA,F
DEVEAN,F
DEVEEN,F
DEVENE,F
DEVONA,F
DEVONNA,F
DEVORAH,F
DEVRA,F
DIAN,F
DIANA,F
DIANE,F
DIANN,F
DIANNA,F
DIANNE,F
DIANTHE,F
DICIE,F
DIDI,F
DIEDRA,F
DIEDRE,F
DIERDRE,F
DIERDRIE,F
DILLIE,F
DILYS,F
DIMPLE,F
DINA,F
DINAH,F
DINDIE,F
DIONE,F
DIONNA,F
DIONNE,F
DIONYSIA,F
DIONYSIUS,F
DIVINA,F
DIVINIA,F
DIXIE,F
DOCIA,F
DODO,F
DOLA,F
DOLL,F
DOLLIE,F
DOLLY,F
DOLORES,F
DOLORITA,F
DOMINA,F
DOMINICA,F
DOMINIQUE,F
DONA,F
DONALDA,F
DONALDINA,F
DONALEEN,F
DONELDA,F
DONELLA,F
DONELLIA,F
DONETTE,F
DONITA,F
DONNA,F
DONNELLA,F
DONNELLE,F
DONNIA,F
DORA,F
DORAH,F
DORALICE,F
DORANCE,F
DORCAS,F
DORCIA,F
DOREEN,F
DORENE,F
DORETHA,F
DORETHEA,F
DORETTE,F
DORI,F
DORIA,F
DORIANA,F
DORIANNE,F
DORICE,F
DORIE,F
DORINDA,F
DORIS,F
DORIT,F
DORITA,F
DORITHA,F
DORITT,F
DORLISA,F
DOROTHA,F
DOROTHEA,F
DOROTHY,F
DORRIEN,F
DORRIS,F
DORRIT,F
DORSIE,F
DORTHA,F
DORTHIE,F
DORTHY,F
DOSHA,F
DOSHIA,F
DOT,F
DOTHY,F
DOTTIE,F
DOTTY,F
DOVA,F
DOVE,F
DOVIE,F
DREENA,F
DRENA,F
DREWSILA,F
DRINA,F
DRUANNE,F
DRUCELLA,F
DRUCILLA,F
DRUISILLA,F
DRUNETTE,F
DRUSCILLA,F
DRUSILLA,F
DUANA,F
DULCE,F
DULCEA,F
DULCIA,F
DULCIBELLA,F
DULCIE,F
DULCINE,F
DULCINEA,F
DULSIE,F
DURA,F
DUSTINE,F
DYANNE,F
DYLIS,F
DYLLIS,F
DYLYS,F
DYMPHNA,F
DYMPNA,F
EARLEAN,F
EARLEE,F
EARLEEN,F
EARLENA,F
EARLENE,F
EARLINA,F
EARLINDA,F
EARLINE,F
EARLY,F
EARNESTINE,F
EARSEL,F
EARTHA,F
EASTER,F
EBBONY,F
EBONEY,F
EBONI,F
EBONIE,F
EBONY,F
EBONYI,F
EDA,F
EDDYE,F
EDIE,F
EDITH,F
EDITHA,F
EDITHMARY,F
EDMEE,F
EDMONIA,F
EDNA,F
EDNAH,F
EDRA,F
EDRICE,F
EDRIE,F
EDWEENA,F
EDWENA,F
EDWINA,F
EDWYNA,F
EDYTH,F
EDYTHA,F
EDYTHE,F
EFFA,F
EFFAM,F
EFFIE,F
EGIDIA,F
EIFIONA,F
EILEAN,F
EILEEN,F
EILEY,F
EILIDH,F
EILISH,F
EILLEEN,F
EILUNED,F
EILWEN,F
EILY,F
EIRENE,F
EIRIAN,F
EITHNE,F
ELAINA,F
ELAINE,F
ELANOR,F
ELANORE,F
ELAYN,F
ELAYNE,F
ELBA,F
ELBERTA,F
ELDA,F
ELDORA,F
ELDRED,F
ELDREDA,F
ELEANA,F
ELEANOR,F
ELEANORA,F
ELEANORE,F
ELEAZAR,F
ELEN,F
ELENA,F
ELENI,F
ELENOR,F
ELENORA,F
ELENORAH,F
ELFREDA,F
ELFRIDA,F
ELFRIDE,F
ELFRIEDE,F
ELGA,F
ELGIE,F
ELIA,F
ELIDA,F
ELIGE,F
ELIHU,F
ELIN,F
ELINA,F
ELINDA,F
ELINED,F
ELINOR,F
ELISA,F
ELISABET,F
ELISABETH,F
ELISE,F
ELISHER,F
ELISSA,F
ELITA,F
ELIZA,F
ELIZABETH,F
ELKE,F
ELLA,F
ELLAINE,F
ELLALINE,F
ELLE,F
ELLEN,F
ELLENORA,F
ELLIE,F
ELLIN,F
ELLINE,F
ELLINER,F
ELLISSA,F
ELMA,F
ELMENA,F
ELMINA,F
ELMIRA,F
ELMYRA,F
ELNA,F
ELNORA,F
ELOINE,F
ELOISA,F
ELOISE,F
ELON,F
ELOUISE,F
ELOY,F
ELPETH,F
ELSA,F
ELSBETH,F
ELSIA,F
ELSIE,F
ELSPETH,F
ELSPIE,F
ELTA,F
ELUNED,F
ELVA,F
ELVERA,F
ELVIA,F
ELVINA,F
ELVIRA,F
ELWINA,F
ELYN,F
ELYSE,F
ELYSIA,F
ELZA,F
ELZBTH,F
ELZIE,F
EMALINE,F
EMANUELA,F
EMBLYN,F
EMELEN,F
EMELIA,F
EMELINE,F
EMELY,F
EMELYN,F
EMILEY,F
EMILIA,F
EMILIE,F
